country,year,sex,age,suicides_no,population,suicides_100k_pop
Antigua and Barbuda,2001,male,25-34 years,0,7071,0.0
Antigua and Barbuda,2001,male,35-54 years,2,10281,19.45336056803813
Antigua and Barbuda,2001,male,5-14 years,0,7958,0.0
Antigua and Barbuda,2001,male,55-74 years,0,3442,0.0
Antigua and Barbuda,2001,male,75+ years,0,980,0.0
Antigua and Barbuda,2002,female,15-24 years,0,7196,0.0
Antigua and Barbuda,2002,female,25-34 years,0,8155,0.0
Antigua and Barbuda,2002,female,35-54 years,0,11760,0.0
Antigua and Barbuda,2002,female,5-14 years,0,8408,0.0
Antigua and Barbuda,2002,female,55-74 years,0,4050,0.0
Antigua and Barbuda,2002,female,75+ years,0,1547,0.0
Antigua and Barbuda,2002,male,15-24 years,0,6416,0.0
Antigua and Barbuda,2002,male,25-34 years,0,6921,0.0
Antigua and Barbuda,2002,male,35-54 years,0,10604,0.0
Antigua and Barbuda,2002,male,5-14 years,0,7980,0.0
Antigua and Barbuda,2002,male,55-74 years,0,3527,0.0
Antigua and Barbuda,2002,male,75+ years,0,1024,0.0
Antigua and Barbuda,2003,female,15-24 years,0,7454,0.0
Antigua and Barbuda,2003,female,25-34 years,0,7831,0.0
Antigua and Barbuda,2003,female,35-54 years,0,12129,0.0
Antigua and Barbuda,2003,female,5-14 years,0,8423,0.0
Antigua and Barbuda,2003,female,55-74 years,0,4054,0.0
Antigua and Barbuda,2003,female,75+ years,0,1583,0.0
Antigua and Barbuda,2003,male,15-24 years,0,6730,0.0
Antigua and Barbuda,2003,male,25-34 years,0,6734,0.0
Antigua and Barbuda,2003,male,35-54 years,0,10997,0.0
Antigua and Barbuda,2003,male,5-14 years,0,8061,0.0
Antigua and Barbuda,2003,male,55-74 years,1,3594,27.824151363383418
Antigua and Barbuda,2003,male,75+ years,0,1068,0.0
Antigua and Barbuda,2004,female,15-24 years,0,7648,0.0
Antigua and Barbuda,2004,female,25-34 years,0,7531,0.0
Antigua and Barbuda,2004,female,35-54 years,0,12492,0.0
Antigua and Barbuda,2004,female,5-14 years,0,8488,0.0
Antigua and Barbuda,2004,female,55-74 years,0,4088,0.0
Antigua and Barbuda,2004,female,75+ years,0,1590,0.0
Antigua and Barbuda,2004,male,15-24 years,0,6968,0.0
Antigua and Barbuda,2004,male,25-34 years,0,6556,0.0
Antigua and Barbuda,2004,male,35-54 years,1,11406,8.76731544800982
